sku_key,sku_id,product_name,category,sub_category,brand,unit_cost,unit_price,reorder_point,safety_stock_level
113,SKU_00113,LED bulbs 251,Home Decor,LED bulbs,SuperFoods,328.79,447.09,50,25
114,SKU_00114,USB Cables 721,Electronics,USB Cables,PureDrop,136.84,217.44,55,24
115,SKU_00115,Soft Drinks 904,Beverages,Soft Drinks,PureDrop,92.02,127.28,45,16
116,SKU_00116,Cushions 182,Home Decor,Cushions,ElectroMax,319.77,506.55,59,14
117,SKU_00117,Spices 936,Grocery,Spices,HomeCraft,393.85,614.33,43,21
118,SKU_00118,Wall Clocks 806,Home Decor,Wall Clocks,PureDrop,207.46,288.84,38,17
119,SKU_00119,Green Tea 981,Beverages,Green Tea,SuperFoods,228.28,297.48,35,10
120,SKU_00120,Mineral Water 690,Beverages,Mineral Water,FitWear,376.47,643.79,60,22
121,SKU_00121,Power Banks 409,Electronics,Power Banks,FitWear,491.89,636.43,73,11
122,SKU_00122,Spices 720,Grocery,Spices,ElectroMax,236.57,402.17,80,11
123,SKU_00123,Soft Drinks 907,Beverages,Soft Drinks,FitWear,299.02,406.78,30,16
124,SKU_00124,Vases 845,Home Decor,Vases,PureDrop,113.46,146.99,58,13
125,SKU_00125,Cushions 922,Home Decor,Cushions,HomeCraft,65.01,105.26,53,19
126,SKU_00126,Organic Rice 246,Grocery,Organic Rice,ElectroMax,460.53,632.86,54,14
127,SKU_00127,LED bulbs 954,Home Decor,LED bulbs,HomeCraft,485.31,794.94,75,14
128,SKU_00128,Soft Drinks 984,Beverages,Soft Drinks,FitWear,369.52,466.4,70,19
129,SKU_00129,Cooking Oil 184,Grocery,Cooking Oil,SuperFoods,436.62,645.79,59,17
130,SKU_00130,Soft Drinks 350,Beverages,Soft Drinks,FitWear,153.76,243.53,57,21
131,SKU_00131,Organic Rice 325,Grocery,Organic Rice,ElectroMax,462.93,722.1,50,18
132,SKU_00132,USB Cables 769,Electronics,USB Cables,FitWear,392.59,557.78,46,14
133,SKU_00133,Green Tea 820,Beverages,Green Tea,HomeCraft,52.98,82.08,79,24
134,SKU_00134,Denims 940,Apparel,Denims,FitWear,148.54,204.83,60,14
135,SKU_00135,Mineral Water 909,Beverages,Mineral Water,PureDrop,469.14,707.96,67,17
136,SKU_00136,Wheat Flour 111,Grocery,Wheat Flour,FitWear,306.55,498.42,72,23
137,SKU_00137,USB Cables 862,Electronics,USB Cables,HomeCraft,76.52,135.85,63,23
138,SKU_00138,Smart plugs 280,Electronics,Smart plugs,FitWear,20.41,27.67,33,21
139,SKU_00139,Vases 781,Home Decor,Vases,ElectroMax,419.54,595.48,67,21
140,SKU_00140,Socks 264,Apparel,Socks,FitWear,131.03,224.01,65,17
141,SKU_00141,T-Shirts 350,Apparel,T-Shirts,SuperFoods,236.67,339.01,65,18
142,SKU_00142,USB Cables 999,Electronics,USB Cables,SuperFoods,60.74,101.55,30,20
143,SKU_00143,Cooking Oil 475,Grocery,Cooking Oil,PureDrop,364.1,640.58,51,20
144,SKU_00144,Mineral Water 629,Beverages,Mineral Water,FitWear,41.56,71.77,54,16
145,SKU_00145,Smart plugs 211,Electronics,Smart plugs,HomeCraft,196.89,250.74,33,20
146,SKU_00146,Denims 219,Apparel,Denims,SuperFoods,30.73,40.78,54,19
147,SKU_00147,Socks 581,Apparel,Socks,ElectroMax,112.61,163.8,57,13
148,SKU_00148,Caps 225,Apparel,Caps,PureDrop,233.11,304.97,59,22
149,SKU_00149,T-Shirts 935,Apparel,T-Shirts,ElectroMax,113.79,153.75,78,13
150,SKU_00150,Socks 508,Apparel,Socks,FitWear,416.5,501.62,33,24
